id,English,Chinese (Traditional),Chinese (Simplified),Vietnamese
A_Gem,Gem,寶石,宝石,ジェム,보석,Gema,Juwel,Joia,Gemme,Самоцвет,Klejnot,جواهر,الأحجار الكريمة,อัญมณี,Đá
multiroomskin_buy_mech_0,Special Sale: A package deal of 4 mechs for your team!\n,機甲特賣：投一次幣，解鎖四台機甲！,机甲特卖：投一次币，解锁四台机甲！\n,特別セール：あなたのチームにメカ4体をプレゼント！\n,특별 할인: 메카 4대 패키지!,Oferta especial: ¡Una oferta de un paquete que contiene 4 mecas para tu equipo!,Sonderangebot: Ein Paket von 4 Mechas für dein Team!,Promoção Especial: um pacote com 4 mecas para sua equipe!,Promo spéciale : un pack de 4 méchas pour votre équipe !,Особая акция: посылка с четырьмя роботами для твоей команды!,Wyprzedaż specjalna: paczka 4 mechów dla twojej drużyny!,فروش ویژه: یک بسته حاوی 4 ماشین برای تیم شما!\n,عرض خاص: صفقة كاملة من 4 أزياء دروع لفريقك!\n,ลด ราคา พิเศษ: ข้อ เสนอ แพ็ก เกจ พาหนะ หุ้ม เกราะ 4 คัน สำหรับ ทีม คุณ!\n,Cơ Giáp Giảm Giá: Bỏ xu 1 lần mở khóa 4 Cơ Giáp!\n
multiroomskin_buy_mech_1,Free Shipping: Mechs will be delivered to the spawn point of Level 1-1.,特約快遞：購買的機甲將直接送往關卡1-1初始房間。,特约快递：购买的机甲将直接送往关卡1-1初始房间。,送料無料：メカはステージ1-1の生成地点まで届けられます。,무료 배송: 레벨 1-1 생성 지점으로 메카가 배달됩니다.,Envío gratis: Los mecas se entregarán en el punto de aparición del nivel 1-1.,Gratisversand: Mechas werden zum Spawnpunkt von Level 1-1 geliefert.,Frete Grátis: os mecas serão entregues no ponto de surgimento do nível 1-1.,Livraison gratuite : les méchas sont livrés au site d'apparition du niveau 1-1.,Бесплатная доставка: посылка будет доставлена в место появления на уровне 1-1.,Darmowa dostawa: mechy zostaną dostarczone do punktu narodzin poziomu 1-1.,ارسال رایگان‎: ماشین‌ها به نقطه ظهور سطح 1-1 تحویل داده می‌شود‎.,شحن مجاني: سيتم تسليم أزياء الدروع إلى نقطة الظهور في المستوى 1-1.,ส่ง ฟรี: พาหนะ จะ ได้ รับ การ ส่ง ไป ยัง จุด เกิด ของ เลเวล 1-1,Chuyển phát free: Cơ Giáp đã mua sẽ gửi thẳng đến phòng khởi tạo ải 1-1.
multiroomskin_buy_mech_info,"You need all four mechs—Garboil Warmech, Raid Battlesuit, Guerrilla Combatant and Plume—to be developed in your workshop before you can order the mechs in this room.",需要爆裂、突擊、遊擊、吉光片羽四台機甲全部研發完成後，才能訂購機甲,需要爆裂、突击、游击、吉光片羽四台机甲全部研发完成后，才能订购机甲,この部屋でメカを注文できるようになるまで、作業場で開発するための4体のメカ（荒ぶる戦闘メカ、レイドバトルスーツ、ゲリラ戦闘員、飾り羽）がすべて必要です。,"4대의 메카: 가보일 워메카, 레이드 배틀 수트, 게릴라 대원과 플룸이 모두 작업장으로 배달되어 있어야 이 방에서 메카를 주문할 수 있습니다.","Necesitarás los cuatro mecas: Meca bélico de agitación, Traje de batalla de asalto, Guerrilla combatiente y Pluma, para desarrollarlos en tu taller antes de poder ordenar los mecas de esta sala.","Du musst alle vier Mechas – den Tumult-Kriegsmech, den Offensivkampfanzug, den Guerrilla-Kämpfer und Plume – in deiner Werkstatt entwickeln, bevor du die Mechas in diesem Raum bestellen kannst.","Você precisa desenvolver os quatro mecas (Meca de Guerra Tormento, Traje de Batalha de Incursão, Combatente de Guerrilha e Pluma) na sua Oficina para poder encomendar os mecas nesta sala.","Vous devez développer les quatre méchas (Mécha disrupteur, Armure de raid, Guérillero et Panache) dans votre atelier avant de pouvoir commander ceux de cette pièce.","Заказать роботов в комнате можно только после создания четырех роботов — боебота смуты, боекостюм рейда, мехапартизана и плюмажа — в мастерской.","Musisz najpierw opracować wszystkie cztery mechy – machinę wojenną Zamęt, szturmowy kombinezon bojowy, Partyzanta i Pióro – w swoim warsztacie, zanim zamówisz je w tym pomieszczeniu.",قبل از اینکه بتوانید ماشین‎​های موجود در این اتاق را سفارش دهید، باید هر چهار دستگاه گاربویل وارمچ‏، لباس جنگی هجوم‏، مبارز چریکی و‎ شهپر را در تعمیرگاه خود بسازید‎.,أنت بحاجة إلى تطوير جميع أزياء الدروع الأربعة — آلة حرب جاربويل وسترة قتال للهجوم ومقاتل حرب العصابات ومطلق الضباب - في ورشتك قبل أن تتمكن من طلب أزياء الدروع في هذه الغرفة.,คุณ ต้อง มี พาหนะ หุ้ม เกราะ ทั้ง 4 แบบ ได้แก่ การ์ บอ ยล์ วอร์แมช เรด แบต เทิล สูท และ พลู ม ซึ่ง จะ ต้อง พัฒนา ขึ้น ใน โรง ซ่อม ของ คุณ ก่อน ที่ จะ สั่ง ซื้อ ใน ห้อง นี้ ได้,"4 cơ giáp cần phải nghiên cứu xong phá vỡ, đột kích, du kích, Mảnh Da Cát Quang mới có thể đặt mua Cơ Giáp"
multiroomskin_buy_mech_no_money,Insufficient Season Coins,賽季幣餘額不足。,赛季币余额不足。,シーズンコインが足りません,시즌 코인 부족,Monedas de temporada insuficientes,Nicht genug Saisonmünzen,Moedas da temporada insuficientes,Pas assez de pièces de saison,Недостаточно монет сезона,Za mało monet sezonowych,تعداد سکه‌های فصلی کافی نیست,عملات الموسم غير كافية,เหรียญ ประจำ ฤดูกาล ไม่ เพียง พอ,Số Xu mùa giải còn lại không đủ.
museum/golden_get,Golden frame of {0}!,{0}金框達成,{0}金框达成,{0}の金枠！,{0} 골드 프레임!,¡Marco dorado de {0}!,Goldener Rahmen von „{0}“!,Moldura dourada de {0}!,Cadre doré de {0} !,Золотая рамка ({0})!,Złota ramka ({0})!,قاب طلایی {0}!,الإطار الذهبي لـ {0}!,กรอบ ทองคำ ของ  {0} !,Đạt khung vàng {0}
mvaken,Varkolyn,瓦克恩,瓦克恩,ヴァクリン,바콜린,Varkolyn,Varkolyn,Varkolyn,Varkolyn,Варколин,Varkolyn,وارکولین,فاركولين,วาร์ โค ลิน,Wackern
mysteriou_statue_description,Worshiping the statue can get a random statue buff.,可購買隨機雕像效果,可购买随机雕像效果,像で祈ると、ランダムな像の強化能力を得ることができる。,조각상을 숭배하면 무작위 조각상 버프를 획득할 수 있습니다.,Adora a la estatua para recibir un potenciador de estatua al azar.,Beim Gebet an die Statue kannst du einen zufälligen Statuenbonus erhalten.,Venerar a estátua pode conceder um reforço de estátua aleatório.,"En vénérant la statue, vous pouvez obtenir un bonus de statue aléatoire.",Поклонение статуе может дать случайное усиление.,"Jeżeli oddasz cześć posągowi, możesz otrzymać losowe wzmocnienie posągu.",پرستش مجسمه می‌تواند یک توانمندی مجسمه تصادفی به همراه داشته باشد.,يمكن أن يمنح تمجيد التمثال تعزيزًا عشوائيًا.,การ บูชา รูป ปั้น จะ มอบ บัฟ รูป ปั้น แบบ สุ่ม,Có thể mua hiệu ứng tượng ngẫu nhiên
mythic_weapon,Mythical Weapon,神話武器,神话武器,神話の武器,신비한 무기,Arma mítica,Mythische Waffe,Arma Mítica,Arme mythique,Мифическое оружие,Mityczna broń,سلاح اسطوره‌ای,سلاح أسطوري,อาวุธ ใน ตำนาน,Vũ Khí Thần Thoại
name/char_with_char_name,Character [{0}],角色 [{0}],角色 [{0}],キャラクター（{0}）,캐릭터 [{0}],Personaje [{0}],Charakter [{0}],Personagem [{0}],Personnage [{0}],Персонаж [{0}],Postać [{0}],شخصیت‎ [‎{0}‎],الشخصية‎[‎{0}‎],ตัว ละคร [ {0} ],Nhân vật [{0}]
name/skin_with_char_name,Skin [{0}],皮膚 [{0}],皮肤 [{0}],スキン（{0}）,스킨 [{0}],Aspecto [{0}],Skin [{0}],Visual [{0}],Apparence [{0}],Облик [{0}],Skórka [{0}],پوسته‎ [‎{0}‎]‎,المظهر ‎ [‎{0}‎]‎,สกิน [ {0} ],Skin [{0}]
net/disconnect,Disconnected from the host,已與主機斷開連接,已与主机断开连接,ホストとの接続が途切れました,호스트 연결 해제.,No hay conexión con el anfitrión,Vom Host trennen,Desconectado do servidor,Déconnecté de l'hôte,Потеряно соединение с сервером.,Utracono połączenie z hostem,قطع اتصال از میزبان,تم قطع الاتصال من المضيف,การ เชื่อม ต่อ หลุด จาก โฮสต์,Đã mất kết nối với máy chủ mới
net/net_not_good,Internet connection is not stable. Please try again later.,當前網路卡頓，請稍後嘗試,当前网络卡顿，请稍后尝试,インターネット接続が不安定です。しばらく経ってから再度お試しください。,인터넷 연결 상태가 불안정합니다. 나중에 다시 시도해 주세요.,La conexión a internet no es estable. Inténtalo de nuevo más tarde.,Die Internetverbindung ist nicht stabil. Bitte versuche es später erneut.,Conexão com a Internet instável. Tente novamente mais tarde.,La connexion à Internet est instable. Ressayez plus tard.,Нестабильное соединение с Интернетом. Повтори попытку позже.,Połączenie z Internetem nie jest stabilne. Spróbuj ponownie później.,اتصال به اینترنت پایدار نیست. لطفا بعدا امتحان کن.,يوجد عدم استقرار في الاتصال بالإنترنت. الرجاء معاودة المحاولة في وقت لاحق.,การ เชื่อม ต่อ อินเทอร์เน็ต ไม่ คงที่ โปรด ลอง อีก ครั้ง ภาย หลัง,"Mạng lag, hãy thử lại sau"
net/no_net,There is no internet connection. Please connect and try again.,當前未聯網，請先聯網後再進行操作,当前未联网，请先联网后再进行操作,インターネットに接続していません。接続してから再度お試しください。,"인터넷에 연결되지 않았습니다. 연결 후 다시 시도해 주세요.,",No hay conexión a internet. Conéctate e inténtalo de nuevo.,Es besteht keine Internetverbindung. Bitte stelle eine Verbindung her und versuche es erneut.,Não há conexão com a Internet. Conecte-se e tente novamente.,Il n'y a pas de connexion à Internet. Connectez-vous et ressayez.,Нет соединения с Интернетом. Подключись и повтори попытку.,Brak połączenia z Internetem. Połącz i spróbuj ponownie.,اتصال به اینترنت برقرار نیست. لطفا دوباره وصل شو و امتحان کن.,لا يوجد اتصال بالإنترنت. الرجاء الاتصال بالإنترنت ومعاودة المحاولة.,ไม่มี การ ชื่อ ม ต่อ อินเทอร์เน็ต โปรด เชื่อม ต่อ และ ลอง อีก ครั้ง,"Chưa kết nối mạng, hãy kết nối mạng rồi thao tác"
net/reconnect_fail,Unable to reconnect to the host,未能連接到主機,未能连接到主机,ホストと接続することができませんでした,호스트에 연결할 수 없습니다.,No se pudo volver a conectar con el anfitrión,Erneute Verbindung zum Host nicht möglich ...,Não foi possível reconectar ao servidor,Impossible de se reconnecter à l'hôte,Невозможно снова подключиться к серверу.,Nie można połączyć się z hostem,اتصال مجدد به میزبان مقدور نیست,تعذر إعادة الاتصال بالمضيف,เชื่อม ต่อ กับ โฮสต์ อีก ครั้ง ไม่ ได้,Chưa kết nối được với máy chủ
net/reconnect_wait_next_level,Waiting for other players to join the game,正在等待其他玩家進入下一關,正在等待其他玩家进入下一关,他のプレイヤーが次のステージに進むのを待っています,다른 플레이어의 게임 참가를 기다리는 중,Esperando a que otros jugadores se unan a la partida,Warte auf Spieler für einen Spielbeitritt.,Aguardando os demais jogadores para entrar no jogo,En attente d'autres joueurs,Ожидание остальных игроков,Czekamy na dołączenie pozostałych graczy,منتظر سایر بازیکنان برای پیوستن,في انتظار لاعبين آخرين للانضمام للعبة,กำลัง รอ ผู้ เล่น อื่น เข้า ร่วม เกม,Đang chờ người chơi khác vào ải kế
net/reconnecting,Reconnecting to the host…,正在嘗試重新連接主機,正在尝试重新连接主机,再接続中・・・,호스트에 다시 연결하는 중...,Volviendo a conectar con el anfitrión…,Erneute Verbindung zum Host ...,Reconectando ao servidor…,Reconnexion à l'hôte en cours...,Соединение с сервером...,Ponowne łączenie z hostem...,اتصال مجدد به میزبان …,جارٍ إعادة الاتصال بالمضيف...,กำลัง เชื่อม ต่อ โฮสต์ อีก ครั้ง...,Đang thử kết nối lại với máy chủ
net/timeout,Connection Timeout,超時,超时,接続がタイムアウトしました,연결 시간 초과,Se agotó el tiempo de conexión,Verbindungstimeout,A conexão expirou,Le temps de connexion est épuisé,Время ожидания соединения истекло,Czas połączenia minął,وقفه اتصال,انتهى وقت محاولة الاتصال,การ เชื่อม ต่อ หมด เวลา,Quá giờ
net/timeout_dialog,You are disconnected from the host. Do you want to reconnect?,已從主機斷開，要重新連接嗎？,已从主机断开，要重新连接吗？,ホストとの接続が途切れました。再接続しますか？,호스트와의 연결이 끊겼습니다. 다시 연결하시겠습니까?,No hay conexión con el anfitrión. ¿Quieres volver a conectarte?,Du wurdest vom Host getrennt. Willst du dich erneut verbinden?,Você perdeu a conexão com o servidor. Deseja se reconectar?,Connexion à l'hôte perdue. Voulez-vous vous reconnecter ?,Потеряно соединение с сервером. Хочешь подключиться снова?,Rozłączono z hostem. Czy chcesz ponownie nawiązać połączenie?,اتصالت به میزبان قطع شده. میخوای دوباره وصل بشی؟,تم قطع اتصالك من المضيف. هل تريد إعادة الاتصال؟,คุณ ถูก ตัด การ เชื่อม ต่อ จาก โฮสต์ ต้องการ เชื่อม ต่อ อีก ครั้ง หรือ ไม่?,"Đã mất kết nối với máy chủ, kết nối lại?"
new_c00_talk1,"You go, I'm taking a break.",你先上，我休息一下,你先上，我休息一下,先にいってくれ、俺はここでちょっと休んでいくぜ。,그만 가 봐. 쉬는 중이니까.,Puedes echar un vistazo. Yo estoy descansando.,"Geh du, ich mache eine Pause.","Você vai primeiro, estou fazendo uma pausa.","Vas-y, je fais une pause.","Иди-иди, а я пока отдохну...","Ty idź, a ja sobie zrobię przerwę.",تو برو، من میخوام استراحت کنم.,سآخذ استراحة، بعد أن تذهب.,นาย ไป เลย ข้า กำลัง พัก,"Bạn trước đi, tôi nghỉ ngơi đã"
new_c00_talk2,Talk to my hand!,你看這是幾？,你看这是几？,俺には関係ない！,그만 떠들어!,¡Háblale a la mano!,Sprich zu meiner Hand!,Fale com a minha mão!,Parle à ma main !,Отстань.,Gadaj zdrów!,با دیوار صحبت کن!,لن أستمع إليك!,คุย กับ หมัด ข้า ไหม ละ!,Nhìn xem đây là mấy?
new_c00_talk3,They never shut the fridge door.,總有人不關冰箱,总有人不关冰箱,冷蔵庫の扉をちゃんと閉めてくれないんだ。,냉장고 문을 제대로 닫는 법이 없군.,Nunca cierran la puerta del refrigerador.,Ständig bleibt diese Kühlschranktür offen …,Nunca fecham a porta da geladeira.,La porte du frigo n'a jamais été fermée.,Никогда не закрывает за собой холодильник.,Nigdy nie zamyka lodówki.,آنها هرگز در یخچال را نمی​بندند.,لا يغلقون باب الثلاجة أبدًا.,พวก มัน ไม่ เคย ปิด ประตู ตู้ เย็น เลย,Lúc nào cũng có người không đóng tủ lạnh
new_c01_talk1,Wait till I finish this episode.,等我看完這集,等我看完这集,このアニメを見終わるまで待ってくれ！,이 에피소드를 끝낼 때까지 기다려.,Espera hasta que termine de ver este episodio.,"Warte, bis ich diese Episode fertig habe.",Espere até terminar este episódio.,"Attends, je termine cet épisode.","Подожди, я хочу досмотреть.","Poczekaj, aż skończę ten odcinek.",صبر کن این قسمت رو تموم کنم.,انتظر حتى أنتهي من هذه الحلقة.,รอ จนกว่า ข้า ดู ตอน นี้ จบ ก่อน,Chờ tôi xem xong tập này
new_c01_talk2,New anime! Dai suki!,是新番！好棒！,是新番！好棒！,新作アニメ！やったぜ！,새 애니다! 완전 좋아!,¡Un anime nuevo! ¡Daisuki!,Ein neuer Anime! Dai suki!,Novo anime! Dai suki!,Nouvel anime ! Dai suki !,Новое аниме! Дайски!,Nowe anime! Dai suki!,انیمه جدید! دایی سوکی!,أنيمي جديد! داي سوكي!,อ นิ เมะ เรื่อง ใหม่! รัก เลย!,Là tập mới! Tuyệt quá!
new_c01_talk3,I want a big TV.,我想要個大電視,我想要个大电视,大きなテレビが欲しいなあ…。,큰 TV가 갖고 싶다.,Quiero una televisión grande.,Ich will einen großen Fernseher.,Eu quero uma TV grande.,Je veux une grande télé.,Хочу большой телевизор.,Chcę duży telewizor.,یه تلویزیون بزرگ میخوام.,أريد تلفازًا كبيرًا.,อยาก ได้ที วี จอ ใหญ่ จัง!,Tôi muốn có tivi lớn
new_c02_talk1,I can feel the magic recovering.,我感覺魔法的力量開始回復了,我感觉魔法的力量开始回复了,魔力がまだ回復してないみたい…。,마력이 돌아오는 게 느껴져.,Puedo sentir cómo la magia se recupera.,"Die Magie erholt sich, ich kann es spüren.",Posso sentir a recuperação da magia.,Je sens la magie revenir.,Магия восстанавливается...,Czuję powracającą magię.,میتونم احیای جادو رو حس کنم.,أستطيع أن أشعر بالتعافي من السحر.,ข้า รู้สึก ได้ ว่า เวทมนตร์ กำลัง ฟื้น กลับ มา,Tôi cảm thấy sức mạnh phép thuật bắt đầu hồi phục rồi
new_c02_talk2,Books are a uniquely portable magic.,看書會使你變得更強,看书会使你变得更强,本とは持ち運べる魔法。,책은 들고 다닐 수 있는 마법과도 같지.,Los libros son una forma de magia portátil única.,"Bücher sind wie Magie, die man bei sich tragen kann.",Os livros são uma magia portátil única.,Les livres sont de la magie portable.,Каждая книга — кладезь магии.,Księgi to wyjątkowa magia przenośna.,کتاب ها جادوی قابل حمل و مخصوصن.,وما الكتب إلا ضرب من ضروب السحر المحمول الذي لا يضاهى.,หนังสือ คือ เวทมนตร์ พก พา,Đọc sách sẽ khiến bạn trở nên mạnh hơn
new_c03_talk1,Be careful out there.,路上小心,路上小心,いってらっしゃい。,조심해서 다녀.,Ten cuidado ahí afuera.,Sei vorsichtig da draußen.,Tenha cuidado.,Fais attention.,Береги себя.,Uważaj na siebie.,اون بیرون حواستو جمع کن.,كن حذرًا هناك.,ระวัง ข้าง นอก นั้น,Đi cẩn thận
new_c03_talk2,Spacious lobby!,新客廳真寬敞,新客厅真宽敞,広いロビーだ。,로비가 널찍하군!,¡Un vestíbulo espacioso!,Eine geräumige Lobby!,Que sala de espera espaçosa!,C'est spacieux !,Как тут просторно!,Duże to lobby!,چه لابی بزرگی!,صالة واسعة!,ล็อบบี้ กว้าง มาก!,Phòng Khách mới rộng quá
new_c04_talk1,Want a drink?,要來一杯嗎？,要来一杯吗？,一杯付き合わない？,뭐 좀 마실래?,¿Quieres una bebida?,Willst du was trinken?,Quer uma bebida?,Une petite soif ?,Не хочешь пить?,Chce ci się pić?,نوشیدنی میخوای؟,هل تريد شرابًا؟,ดื่ม หน่อย ไหม?,Muốn uống một ly không
new_c04_talk2,I got two new flavors.,新增加了兩種新口味,新增加了两种新口味,新しい味が2種類入ったんだ。,새로운 맛을 두 가지 개발했지.,Tengo dos sabores nuevos.,Ich habe zwei neue Sorten.,Eu tenho dois novos sabores.,J'ai deux nouveaux parfums.,Есть два новых вкуса.,Mam dwa nowe smaki.,دو تا طعم جدید دارم.,حصلت على زوج من النكهات الجديدة.,ข้า มี สอง รส ใหม่,Vừa mới thêm hai vị
new_c04_talk3,Which flavor shall I pick today?,今天要選哪種口味呢？,今天要选哪种口味呢？,今日はどの味にしようかな？,오늘은 무슨 맛으로 할까?,¿Qué sabor elegiré hoy?,Welchen Geschmack soll ich heute wählen?,Qual sabor eu vou escolher hoje?,Quel parfum devrais-je choisir ?,Какой вкус выбрать сегодня?,Który smak dzisiaj wybrać?,امروز چه طعمی باید بردارم؟,ما النكهة التي سأختارها اليوم؟,วัน นี้ ข้า จะ เลือก รส อะไร ดีละ?,Hôm nay nên chọn vị nào đây?
new_c05_talk1,Fixing my turret...,我得修好我的炮臺,我得修好我的炮台,タレットを早く直さないと…。,포탑 손 좀 보자...,Arreglando mi torreta...,Ich repariere meinen Turm ...,Consertando minha torreta...,Je répare ma tourelle...,Чиню турель...,Naprawiam swoją wieżę...,دارم برجکم رو تعمیر میکنم…,إصلاح برج المدفعية الخاص بي...,กำลัง ซ่อม ป้อม ปืน...,Tôi phải sửa chữa Pháo Đài
new_c05_talk2,I can fix my turret!,這次一定能修好！,这次一定能修好！,タレット直すよ！,"내 포탑, 고칠 수 있어!",¡Puedo arreglar mi torreta!,Ich kann meinen Turm reparieren!,Eu posso consertar minha torreta!,Je peux réparer ma tourelle !,Я могу починить турель!,Potrafię naprawić swoją wieżę!,میتونم برجکم رو تعمیر کنم!,يمكنني إصلاح برجي!,ข้า ซ่อม ป้อม ปืน ได้ น่า!,Lần này nhận được sẽ sửa được!
new_c05_talk3,You see my brother in the dungeon?,我牙膏用完了,我牙膏用完了,ダンジョンで僕の弟に会った？,던전에서 내 동생 봤나?,¿Viste a mi hermano en la mazmorra?,Siehst du meinen Bruder im Verlies?,Está vendo meu irmãozinho na masmorra?,Tu as vu mon frère dans le donjon ?,Как там мой брат в подземелье?,Znasz mojego brata z podziemi?,داداش منو ندیدی توی سیاهچال؟,هل ترى أخي في الأبراج المُحصَّنة؟,นาย เจอ น้อง ชาย ข้า ใน ดัน เจี้ยน ไหม?,Kem đánh răng của tôi dùng hết rồi
new_c06_talk1,I don't drink juice.,我不喝果汁,我不喝果汁,トマトジュースは飲まない主義だ。,난 주스 안 마셔.,No bebo jugo.,Ich trinke keinen Saft.,Não bebo suco.,Je ne bois pas de jus.,Я не пью сок.,Nie piję soku.,آبمیوه نمیخوام.,لا أشرب العصير.,ข้า ไม่ ดื่ม น้ำ ผล ไม้,Tôi không uống nước ép
new_c06_talk2,Taking a nap...,現在沒事兒的時候可以睡一會兒了,现在没事儿的时候可以睡一会儿了,昼寝させてくれ…。,잠 좀 자자...,Tomando una siesta...,Ich mache ein Nickerchen ...,Tirando uma soneca...,Je fais un petit somme...,Подремлю...,Próbuję się zdrzemnąć...,چرت میزنم…,يأخذ قيلولة...,กำลัง งีบ หลับ...,Bây giờ hết việc có thể đi ngủ một lúc rồi
new_c06_talk3,I find eternal peace in my coffin.,這個小盒才是我永遠的家,这个小盒才是我永远的家,箱の中に引きこもっていたい。,역시 관 속이 제일 편안하지.,Encuentro la paz eterna en mi ataúd.,Ich finde ewigen Frieden in meinem Sarg.,Eu encontro a paz eterna dentro do meu caixão.,J'ai trouvé la paix éternelle dans mon cercueil.,В гробу так уютно...,W trumnie mam wieczny spokój.,توی تابوت به آرامش ابدی میرسم.,أجد الراحة الأبدية في التابوت.,ข้า พบ สันติสุข นิรันดร ใน โลง ของ ข้า,Chiếc hộp nhỏ này mới là ngôi nhà vĩnh viễn của tôi
new_c07_talk1,I like this TV show.,我挺喜歡這部電視劇,我挺喜欢这部电视剧,今やってるアニメめちゃくちゃ好き！,"괜찮군, 이 TV 프로그램.",Me gusta este programa de televisión.,Ich mag diese TV-Show.,Gosto desta série.,J'aime cette émission.,Люблю этот сериал.,Podoba mi się ten program.,این برنامه تلویزیونی رو دوست دارم,أحب هذا البرنامج التليفزيوني.,ข้า ชอบ รายการ ทีวี นี้,Tôi rất thích bộ phim truyền hình này
new_c07_talk2,Stand behind me!,有危險站到我身後,有危险站到我身后,私の後ろに隠れるんだ！,뒤로 물러나!,¡Quédate detrás de mí!,Bleib hinter mir!,Fique atrás de mim!,Reste derrière moi !,Держись за мной!,Stań za mną!,پشت سرم وایسا!,قف ورائي!,อยู่ หลัง ข้า เอา ไว้!,Có nguy hiểm thì đứng ở sau lưng tôi
new_c08_talk1,Stay awhile and listen.,坐下來喝杯茶吧,坐下来喝杯茶吧,そんなことよりお茶でもしようよ！,내 말 좀 들어봐.,Quédate un rato y escucha.,Bleib noch eine Weile und hör zu.,Fique um pouco e escute.,Reste un peu et écoute.,Остановись и послушай...,Zostań chwilkę i posłuchaj.,یه کم وایسا و گوش بده.,ابق لفترة، واستمع.,มา อยู่ ด้วย กัน แล้ว ฟัง ดู สิ,Ngồi xuống muốn một ly trà nhé
new_c08_talk2,What's for dinner?,今天該吃點什麼呢？,今天该吃点什么呢？,晩御飯は何かな？,저녁 메뉴는 뭐지?,¿Qué hay para cenar?,Was gibt es zum Abendessen?,O que tem para o jantar?,Qu'est-ce qu'on mange ?,Что на обед?,Co na obiad?,شام چی داریم؟,ماذا يوجد للعشاء؟,เย็น นี้ มี เมนู อะไร?,Hôm nay nên ăn gì nhỉ?
new_c09_talk1,I want to try my luck on that gashapon machine again.,我想再試一次那個扭蛋機,我想再试一次那个扭蛋机,もう一回ガチャ引かせて。,"저 가샤폰 머신, 다시 한 번 돌려보고 싶은데.",Quiero volver a probar suerte en esa máquina de gacha.,Ich will nochmal mein Glück mit diesem Gashapon-Automat versuchen.,Quero tentar minha sorte naquela Máquina Gashapon de novo.,J'aimerais retenter ma chance au distributeur de jouets.,Снова хочу попытать счастья на гасяпон-автомате!,Chyba znowu skorzystam z tego automatu sprzedającego.,می​خواهم دوباره شانس خود را در آن ماشین گاشاپون امتحان کنم.,أريد أن أجرب حظي على ماكينة القمار هذه مرة أخرى.,ข้า อยาก ลอง เสี่ยง โชค กับ ตู้ กา ชา ปอง อีก สัก ครั้ง,Tôi muốn thử lại lần nữa Máy Quay Trứng đó
new_c09_talk2,Power surging...,有一股力量想要迸發出來,有一股力量想要迸发出来,力が湧いてくる…,힘이 넘친다...,El poder crece...,Die Kraft steigt ...,Surto de energia...,Mon pouvoir jaillit...,Чувствую прилив сил...,Przepięcie...,افزایش قدرت…,ترتفع القوة...,พละ กำลัง หลั่ง ไหล...,Có một luồng sức mạnh muốn bộc phát ra
new_c09_talk3,Moonlight transforms me!,月光使我變強,月光使我变强,月の光で変身するのさ！,난 달빛을 받으면 변신하지!,¡La luz de la luna me transforma!,Das Mondlicht verwandelt mich!,O luar me transforma!,Le clair de lune me transforme !,Я меняюсь при луне!,Księżyc mnie przemienia!,مهتاب منو دگرگون میکنه!,ضوء القمر يحولني!,แสงจันทร์ ทำให้ ข้า แปลง ร่าง!,Ánh trăng khiến tôi mạnh hơn
new_c10_talk1,Follow the right path.,要信仰正確的道路！,要信仰正确的道路！,正しい道を進みなさい。,정의로운 길을 가야 해.,Sigue el camino correcto.,Folge dem rechten Weg.,Siga o caminho certo.,Reste sur le droit chemin.,Следуй по истинному пути.,Podążaj właściwą ścieżką.,مسیر درست رو دنبال کن.,اتبع الطريق الصحيح.,ไป ตาม เส้น ทาง ที่ ถูก ต้อง,Phải tin tưởng con đường đúng đắn!
new_c10_talk2,You are trendy!,她的衣服好酷吖！,她的衣服好酷吖！,イケてるね！,유행을 좀 아는군!,¡Estás a la moda!,Du bist trendy!,Você está na moda!,Quel style !,Модный костюмчик!,Dobrze wyglądasz!,تو خیلی فشنی!,أنت عصري!,นาย ทัน สมัย จัง!,Trang phục của cô ấy ngầu quá!
new_c11_talk1,I love fluffy animals and greens.,我很喜歡小動物和植物,我很喜欢小动物和植物,ふわふわした動物と緑が好きなんだ。,난 폭신폭신한 동물과 초목을 좋아하지.,Me encantan los animales peludos y las verduras de hoja.,Ich liebe flauschige Tiere und Gemüse.,Adoro animais fofinhos e plantas.,J'adore les animaux tout doux et les légumes.,Люблю пушистых зверей и растения.,Uwielbiam puszyste zwierzaki i zieleninę.,من عاشق سبزیجات و حیوونای پشمالوام.,أنا أحب الحيوانات والنباتات الرقيقة.,ข้า ชอบ สัตว์ ขน ปุกปุย กับ สี เขียว,Tôi rất thích động vật nhỏ và thực vật
new_c11_talk2,I will tend the bonsai with love.,盆栽交給我來照料，會長得更漂亮~,盆栽交给我来照料，会长得更漂亮~,盆栽は愛情を注げば応えてくれる。,분재를 정성스럽게 돌봐주겠어.,Cuidaré el bonsái con amor.,Ich werde die Bonsais mit Liebe pflegen.,Vou cuidar do bonsai com carinho.,Je prendrai soin du bonsaï avec amour.,Буду растить бонсай с любовью.,Dobrze się zajmę tym drzewkiem bonsai.,بونسای میبینم عشق میکنم.,سينتهي بي المطاف مع بونساي إلى الحب.,ข้า จะ ตัด แต่ง บอน ไซ ด้วย ความ รัก,Cây cảnh giao cho tôi chăm sẽ ngày càng đẹp hơn
